table,row_count
alternate_ids,0
apc,0
author_concepts,1352314997
author_institutions,98195258
author_name_variants,0
author_topics,520074500
authors,102744309
authors_works_by_year,338750875
authorship,579473516
citations_by_year,260488637
concepts,65073
data_modification_log,0
funders,32437
institution_geo,117731
institution_hierarchy,32481
institutions,117731
publishers,10741
referenced_works,1624872598
related_works,2019557638
search_index,0
search_metadata,0
source_publishers,158270
sources,260787
topic_hierarchy,13548
topics,4516
work_concepts,1802252766
work_funders,7832484
work_keywords,196262421
work_sources,224255231
work_topics,420469667
works,221554374
